GEOID,county_idx,NAME
51540,976,Charlottesville
51097,977,King and Queen
54053,978,Mason
17153,979,Pulaski
29023,980,Butler
51101,981,King William
05057,982,Hempstead
21103,983,Henry
18043,984,Floyd
21161,985,Mason
51115,986,Mathews
05091,987,Miller
05121,988,Randolph
21185,989,Oldham
54083,990,Randolph
05023,991,Cleburne
18025,992,Crawford
17087,993,Johnson
17059,994,Gallatin
48401,995,Rusk
18173,996,Warrick
48315,997,Marion
18019,998,Clark
54087,999,Roane
51033,1000,Caroline
54007,1001,Braxton
54035,1002,Jackson
39145,1003,Scioto
21081,1004,Grant
05051,1005,Garland
39053,1006,Gallia
18163,1007,Vanderburgh
51165,1008,Rockingham
39001,1009,Adams
21023,1010,Bracken
48339,1011,Montgomery
05135,1012,Sharp
21191,1013,Pendleton
48067,1014,Cass
48455,1015,Trinity
17165,1016,Saline
51119,1017,Middlesex
18129,1018,Posey
17181,1019,Union
54013,1020,Calhoun
29181,1021,Ripley
51137,1022,Orange
05109,1023,Pike
39015,1024,Brown
51079,1025,Greene
05105,1026,Perry
51177,1027,Spotsylvania
54071,1028,Pendleton
21223,1029,Trimble
51057,1030,Essex
18037,1031,Dubois
51103,1032,Lancaster
18175,1033,Washington
51660,1034,Harrisonburg
51113,1035,Madison
21041,1036,Carroll
05137,1037,Stone
17199,1038,Williamson
48073,1039,Cherokee
29031,1040,Cape Girardeau
54021,1041,Gilmer
05141,1042,Van Buren
17193,1043,White
05029,1044,Conway
48321,1045,Matagorda
18117,1046,Orange
51001,1047,Accomack
48225,1048,Houston
48157,1049,Fort Bend
18077,1050,Jefferson
54097,1051,Upshur
51159,1052,Richmond
21077,1053,Gallatin
48037,1054,Bowie
05081,1055,Little River
29017,1056,Bollinger
18125,1057,Pike
39025,1058,Clermont
54041,1059,Lewis
29223,1060,Wayne
51133,1061,Northumberland
48183,1062,Gregg
18143,1063,Scott
39079,1064,Jackson
05065,1065,Izard
18051,1066,Gibson
51047,1067,Culpeper
51139,1068,Page
18155,1069,Switzerland
39105,1070,Meigs
05061,1071,Howard
21015,1072,Boone
21117,1073,Kenton
21037,1074,Campbell
05097,1075,Montgomery
48471,1076,Walker
17065,1077,Hamilton
54105,1078,Wirt
17077,1079,Jackson
29149,1080,Oregon
39131,1081,Pike
29035,1082,Carter
51193,1083,Westmoreland
05133,1084,Sevier
51099,1085,King George
51630,1086,Fredericksburg
17055,1087,Franklin
51179,1088,Stafford
18101,1089,Martin
05049,1090,Fulton
51171,1091,Shenandoah
18071,1092,Jackson
18027,1093,Daviess
39163,1094,Vinton
18115,1095,Ohio
05115,1096,Pope
51157,1097,Rappahannock
39071,1098,Highland
48459,1099,Upshur
54107,1100,Wood
29157,1101,Perry
51061,1102,Fauquier
54085,1103,Ritchie
24039,1104,Somerset
24037,1105,St. Mary's
05149,1106,Yell
18079,1107,Jennings
18093,1108,Lawrence
48423,1109,Smith
54031,1110,Hardy
17185,1111,Wabash
18137,1112,Ripley
24017,1113,Charles
39061,1114,Hamilton
54001,1115,Barbour
18029,1116,Dearborn
48343,1117,Morris
17047,1118,Edwards
54023,1119,Grant
29123,1120,Madison
48001,1121,Anderson
48481,1122,Wharton
18083,1123,Knox
17191,1124,Wayne
48063,1125,Camp
05129,1126,Searcy
54017,1127,Doddridge
39141,1128,Ross
48473,1129,Waller
39009,1130,Athens
54093,1131,Tucker
29179,1132,Reynolds
54033,1133,Harrison
24019,1134,Dorchester
05005,1135,Baxter
48313,1136,Madison
39167,1137,Washington
17081,1138,Jefferson
51187,1139,Warren
29091,1140,Howell
51153,1141,Prince William
48185,1142,Grimes
17145,1143,Perry
39027,1144,Clinton
29093,1145,Iron
48449,1146,Titus
05113,1147,Polk
17101,1148,Lawrence
29203,1149,Shannon
39165,1150,Warren
54073,1151,Pleasants
40089,1152,McCurtain
18005,1153,Bartholomew
17157,1154,Randolph
48015,1155,Austin
05083,1156,Logan
05127,1157,Scott
05089,1158,Marion
54095,1159,Tyler
24009,1160,Calvert
18055,1161,Greene
18031,1162,Decatur
18105,1163,Monroe
39073,1164,Hocking
39017,1165,Butler
48499,1166,Wood
48387,1167,Red River
48289,1168,Leon
54091,1169,Taylor
18013,1170,Brown
17159,1171,Richland
51059,1172,Fairfax
24047,1173,Worcester
29187,1174,St. Francois
39047,1175,Fayette
51683,1176,Manassas
29186,1177,Ste. Genevieve
54077,1178,Preston
48213,1179,Henderson
05071,1180,Johnson
18047,1181,Franklin
24023,1182,Garrett
24033,1183,Prince George's
51685,1184,Manassas Park
05101,1185,Newton
24045,1186,Wicomico
51069,1187,Frederick
39115,1188,Morgan
39129,1189,Pickaway
17189,1190,Washington
48089,1191,Colorado
48477,1192,Washington
29153,1193,Ozark
18153,1194,Sullivan
54027,1195,Hampshire
17025,1196,Clay
51107,1197,Loudoun
54103,1198,Wetzel
51043,1199,Clarke
54049,1200,Marion
48057,1201,Calhoun
48041,1202,Brazos
48239,1203,Jackson
17033,1204,Crawford
48467,1205,Van Zandt
48159,1206,Franklin
17121,1207,Marion
54057,1208,Mineral
39127,1209,Perry
39045,1210,Fairfield
48161,1211,Freestone
51600,1212,Fairfax
39057,1213,Greene
51510,1214,Alexandria
18145,1215,Shelby
39111,1216,Monroe
54061,1217,Monongalia
24041,1218,Talbot
39121,1219,Noble
11001,1220,District of Columbia
18119,1221,Owen
51840,1222,Winchester
51013,1223,Arlington
39113,1224,Montgomery
18139,1225,Rush
18081,1226,Johnson
18161,1227,Union
51610,1228,Falls Church
17079,1229,Jasper
29215,1230,Texas
48223,1231,Hopkins
39135,1232,Preble
18041,1233,Fayette
05009,1234,Boone
24003,1235,Anne Arundel
48051,1236,Burleson
18109,1237,Morgan
29221,1238,Washington
17163,1239,St. Clair
29067,1240,Douglas
18021,1241,Clay
39097,1242,Madison
29065,1243,Dent
54037,1244,Jefferson
24031,1245,Montgomery
05047,1246,Franklin
17027,1247,Clinton
40079,1248,Le Flore
24001,1249,Allegany
17133,1250,Monroe
10005,1251,Sussex
39119,1252,Muskingum
48395,1253,Robertson
54051,1254,Marshall
54003,1255,Berkeley
48285,1256,Lavaca
39023,1257,Clark
05131,1258,Sebastian
39049,1259,Franklin
42059,1260,Greene
48379,1261,Rains
24035,1262,Queen Anne's
48469,1263,Victoria
48119,1264,Delta
48277,1265,Lamar
17049,1266,Effingham
29099,1267,Jefferson
18167,1268,Vigo
05087,1269,Madison
17023,1270,Clark
18177,1271,Wayne
39059,1272,Guernsey
54065,1273,Morgan
17051,1274,Fayette
24011,1275,Caroline
29213,1276,Taney
48149,1277,Fayette
42051,1278,Fayette
48293,1279,Limestone
24021,1280,Frederick
29055,1281,Crawford
39013,1282,Belmont
18133,1283,Putnam
48349,1284,Navarro
24043,1285,Washington
48391,1286,Refugio
39089,1287,Licking
18097,1288,Marion
39109,1289,Miami
18059,1290,Hancock
05015,1291,Carroll
48007,1292,Aransas
24027,1293,Howard
42111,1294,Somerset
18065,1295,Henry
40023,1296,Choctaw
17035,1297,Cumberland
29229,1298,Wright
17005,1299,Bond
18063,1300,Hendricks
48287,1301,Lee
05033,1302,Crawford
39037,1303,Darke
39021,1304,Champaign
40127,1305,Pushmataha
17119,1306,Madison
48257,1307,Kaufman
42125,1308,Washington
