GEOID,total_population,median_household_income,poverty_rate_pct,pct_no_vehicle
21027,20528,51756.0,23.061184723304752,4.919119596923893
21029,82482,73900.0,10.5077471448316,4.165057293678383
21031,12365,47589.0,19.142741609381318,6.776271939568984
21033,12635,52488.0,16.018994855559953,7.858814352574103
21035,37345,48276.0,17.150890346766634,5.187436676798378
21037,93122,71979.0,11.31418998732845,6.6487436666322
21039,4782,53065.0,19.8452530322041,2.5721784776902887
21041,10842,50625.0,19.738055709278733,6.016340678385739
21043,26671,47004.0,23.227475535225526,7.005522601759051
21045,15942,42190.0,25.46104629281144,8.061038314811743
21047,72766,48920.0,15.428909105901106,7.175220685883915
21049,36897,61878.0,14.773558825920807,6.564151199024522
21051,20322,37888.0,28.988288554276153,12.0112517580872
21053,9295,41180.0,19.903173749327596,6.072984749455338
21055,8979,45810.0,17.373872368860674,5.693848354792561
21057,5974,40515.0,27.75359892869099,9.884874950377135
21059,102916,64021.0,13.59361032298185,6.883257207406316
21061,12179,53029.0,16.70908941620823,3.7605042016806722
21063,7378,39469.0,20.222282461371645,6.8935041979672995
21065,14138,39980.0,23.716225774508416,7.979094076655052
21067,321276,66087.0,14.373622679565234,7.240051725151354
21069,15111,46885.0,20.958242340017204,8.85679484948669
21071,35780,38723.0,28.658468418110676,8.626242823134014
21073,51475,62929.0,12.813987372510926,5.759765884804683
21075,6480,35449.0,25.200617283950617,14.129520605550884
21077,8720,58641.0,16.571100917431192,3.2818532818532815
21079,17175,58263.0,15.470160116448325,4.654747225647348
21081,25085,65461.0,12.585210285030895,5.5762081784386615
21083,36701,52526.0,19.457235497670364,5.921420581655481
21085,26465,47024.0,20.63857925562063,4.987120041215868
21087,11198,38595.0,21.039471334166816,4.614685155717209
21089,35853,58562.0,14.846735280171814,4.634618041165907
21091,9058,68102.0,14.848752483992051,3.779572994806694
21093,111005,64136.0,11.171568848250079,6.346451522116422
21095,26589,35128.0,29.331678513671065,8.944560868736902
21097,18803,58840.0,15.556028293357443,8.956247428336304
21099,19345,45561.0,22.01602481261308,8.001111265453535
21101,44770,56912.0,16.598168416350234,6.7104183757178015
21103,15731,58294.0,16.108321149322993,5.401362805384744
21105,4491,68589.0,16.165664662658653,4.811844540407156
21107,45223,54466.0,18.6276894500586,5.47288089397656
21109,13002,38516.0,22.342716505153053,7.644547923942568
21111,779232,66296.0,13.846582275881895,9.020479140371197
21113,53381,69905.0,11.715779022498642,3.968625006493169
21115,22631,44231.0,20.89169722946401,7.604874619170378
21117,169066,76016.0,11.783563815314729,6.881653378468664
21119,14282,38336.0,26.592914157680998,7.477979507460003
21121,30207,34254.0,33.20422418644685,12.957520705316592
21123,14902,57867.0,18.52100389209502,3.686944863415452
21125,62442,53693.0,20.191537747029244,5.370560109289618
21127,16228,42488.0,26.103031796894253,4.667016255899319
21129,7338,31682.0,28.37285363859362,15.396283655669322
21131,10468,37019.0,32.298433320596104,8.436992969172525
21133,21490,38466.0,28.301535597952537,7.0825906120023765
21135,13063,36662.0,26.24205772027865,6.369560647466891
21137,24320,49487.0,17.064144736842106,6.716879900949237
21139,8980,56125.0,16.737193763919823,2.9403449250777496
21141,27498,58869.0,15.521128809367953,6.119815668202765
21143,8721,64081.0,8.301800252264648,2.725301951068442
21145,67573,58490.0,14.865404821452355,8.218518518518518
21147,16892,35000.0,30.470044991712054,10.798548094373865
21149,9173,64020.0,7.86002398342963,5.846494873926296
21151,92955,59797.0,15.122371039750417,4.528604625428793
21153,11647,31927.0,30.076414527346095,8.541941150636804
21155,19627,49627.0,21.297192642787994,5.719557195571956
21157,31706,64597.0,11.808490506528733,4.385290044622249
21159,11298,45265.0,20.862099486634804,8.280085197018105
21161,17068,48460.0,18.408718068900868,10.500373412994772
21163,29964,68518.0,13.099052195968497,4.244836081106689
21165,6174,43797.0,26.611597019760286,6.852343059239612
21167,22662,60728.0,11.097873091518842,4.890406432426478
21169,10313,46932.0,23.72733443226995,6.298076923076923
21171,11331,47252.0,20.598358485570557,7.482394366197183
21173,28188,53436.0,16.052930324960975,6.1560018682858475
21175,13840,46018.0,18.02023121387283,6.709539121114684
21177,30735,50935.0,15.747519115015454,4.59187980079345
21179,46779,66212.0,8.659868744522115,3.017825215365444
21181,7613,57539.0,15.95954288716669,8.91354246365723
21183,23782,52474.0,13.720460852745775,3.6610994359031084
21185,67997,117334.0,3.76634263276321,1.1840202458423716
21187,11229,56485.0,13.99056015673702,2.773757838880849
21189,4054,32844.0,27.47903305377405,10.412147505422993
21191,14638,58723.0,17.420412624675503,4.345351043643264
21193,28136,45330.0,23.176713107762296,7.793244081922156
21195,58196,41271.0,23.381332050312736,8.908081946009096
21197,13089,38415.0,20.475208190083276,8.522971232288535
21199,65145,48768.0,20.931767595364185,6.082999494379838
21201,2207,53798.0,20.389669234254644,2.5094102885821834
21203,16171,45693.0,22.837177663719004,9.059561128526646
21205,24551,50038.0,21.856543521648813,8.780160857908847
21207,18021,48220.0,21.10315742744576,3.896103896103896
21209,57286,80782.0,9.030129525538525,3.411563208813591
21211,48105,81012.0,7.703980875168901,2.3479249573621375
21213,19574,55907.0,13.763155205885358,3.0278884462151394
21215,19549,101118.0,8.220369328354392,2.703875072296125
21217,26056,63211.0,13.628338962235187,6.664634765823428
21219,12281,57891.0,20.74749613223679,9.271671134941913
21221,14154,55864.0,18.058499364137344,7.047095221725678
21223,8510,66492.0,13.478260869565217,5.285670638557898
21225,13495,58260.0,18.429047795479807,5.131241365699625
21227,135307,63074.0,16.356877323420075,6.68189171186602
21229,12025,65456.0,13.779625779625778,6.774541531823084
21231,19666,41583.0,24.905929014542867,5.9516272002026085
21233,12951,55451.0,15.612694000463284,5.31230545756381
21235,36648,44332.0,22.345012006112203,8.572958091159375
21237,6573,28666.0,35.93488513616309,16.320830007980845
21239,26886,78295.0,8.286840734954994,3.6691127418278855
22001,57674,44977.0,23.336338731490795,9.23882550963157
22003,22798,52755.0,16.277743661724713,8.158721843897329
22005,126973,93800.0,9.807596890677546,3.7315377932232843
22007,21067,47023.0,15.9206341671809,9.046367112810708
22009,39529,38696.0,25.70264868830479,9.856164383561644
22011,36553,68525.0,13.035865729215113,5.446382571575771
22013,12958,34268.0,30.313319956783452,12.948837209302324
22015,128877,64598.0,16.352025574772846,6.098538570635752
22017,236259,47572.0,21.512407992923023,10.335009261709446
22019,210770,64370.0,16.880960288466103,6.202750705893069
22021,9658,45707.0,24.094015324083664,9.11672820221528
22023,5447,69847.0,12.28199008628603,1.5235457063711912
22025,8895,48259.0,21.056773468240582,10.297029702970297
22027,14203,32034.0,28.198267971555307,12.707509881422924
22029,18677,38929.0,31.39690528457461,11.758172008886069
22031,26821,49807.0,20.062637485552365,9.10600879335613
22033,454369,62083.0,17.349995268163102,7.719572822684588
22035,7371,30856.0,30.063763397096732,12.137757244855104
22037,19452,64709.0,12.54883816574131,8.28670799939513
22039,32335,34526.0,26.522344209061387,11.13126649076517
22041,19752,41129.0,24.726609963547997,5.240831964969896
22043,22185,57362.0,12.86905566824431,7.5011162375353475
22045,69958,55190.0,22.803682209325597,11.471395711211695
22047,30210,59410.0,15.216815623965573,7.607317514942944
22049,15093,40406.0,24.554429205591997,10.657388756637978
22051,436171,63257.0,15.349713759053216,7.188147475378197
22053,32277,52470.0,15.720172258884036,5.7267591165896246
22055,243175,66617.0,16.451526678318086,6.48862775605462
22057,97220,61381.0,16.143797572515943,7.936895840121647
22059,14764,59926.0,14.095096179897046,4.737406216505895
22061,48323,37001.0,27.33687891894129,8.646012303940587
22063,143425,77978.0,11.501481610597873,4.145067309624271
22065,10028,34508.0,32.14000797766254,13.32470892626132
22067,25438,37875.0,27.78127211258747,10.333544437407642
22069,37478,41310.0,24.505042958535675,8.012404442521275
22071,380408,51116.0,22.116517002796996,17.430573845788178
22073,159585,49261.0,22.589842403734686,8.796039936236262
22075,23305,77996.0,14.49903454194379,5.323054331864904
22077,20652,53045.0,18.990896765446447,5.644276484213092
22079,129536,55407.0,17.834424407114625,9.552158866183257
22081,7631,43821.0,23.587996330756127,4.839809134287662
